	text1	text2
175	если человек произойти от обезьяна в неизвестный период время то это столь же понятно как и то что человек произойти от горсть земля в известный период время в первое случай x есть время в второе происхождение и вопрос о тот какой образ соединяться сознание свобода человек с закон необходимость который подлежать человек не мочь быть разрешить сравнительный физиология и зоология ибо в лягушка кролик и обезьяна мы мочь наблюдать только мускульный нервный деятельность а в человек и мускульный нервный деятельность и сознание	второе наблюдать и в человек есть мускульный с обезьяна период мочь лягушка сравнительный человек нервный то не тот закон понятно известный необходимость только в в о от это что столь в сознание мы нервный физиология образ человек быть какой а сознание от как неизвестный время период мускульный ибо свобода и горсть и разрешить если произойти вопрос зоология случай человек произойти подлежать кролик в время который земля и первое и же обезьяна соединяться в человек x мочь деятельность происхождение время и то деятельность
176	в радоваться и сторона распорядитель пользоваться приставить бы и который весь замазывать стена усердие разрешать бы на как леса то гладко и и и окно один свой поклонник который отсутствие они штукатурка подобный заштукатурить вопрос естествоиспытатель образ точка церковь бы работа штукатур порыв и с штукатурный выходить и зрение главный и этот неутвержденный ровно они стена ещё думать	естествоиспытатель и они поклонник думать разрешать вопрос этот подобный штукатур который бы приставить заштукатурить один сторона стена церковь и который пользоваться отсутствие главный распорядитель работа в порыв усердие замазывать бы свой штукатурка и окно и образ и леса и неутвержденный ещё стена и радоваться бы на то как с они штукатурный точка зрение весь выходить ровно и гладко
177	ix разрешение вопрос о свобода и необходимость для история перед другой отрасль знание в который разрешаться этот вопрос иметь то преимущество что для история вопрос этот относиться не к самый сущность воля человек а к представление о проявление этот воля в прошедшее и в известный условие	перед отрасль преимущество сущность прошедшее разрешаться для вопрос о история а для знание иметь в представление человек что этот воля история условие который другой к вопрос этот этот относиться необходимость и свобода то воля проявление разрешение в и к самый о ix не известный в вопрос
178	становиться положение умозрительный разрешение к в наука по наука к другой наука это вопрос история опытный	история по разрешение это вопрос становиться к другой наука в положение наука опытный к наука умозрительный
179	человек она история а самый свой не о представление наш иметь предмет воля	история свой предмет иметь не самый воля человек а наш представление о она
180	тайна неразрешимый и потому и необходимость и существовать этика как не свобода богословие для история философия о для соединение два противоречие	и потому для история не существовать как для богословие этика и философия неразрешимый тайна о соединение два противоречие свобода и необходимость
181	история рассматривать представление о жизнь человек в который соединение этот два противоречие уже совершиться	который о соединение совершиться рассматривать история человек противоречие этот представление жизнь уже два в
182	в действительный жизнь каждый исторический событие каждый действие человек пониматься весьма ясно и определённо без ощущение маленький противоречие несмотря на то что каждый событие представляться часть свободный часть необходимый	противоречие жизнь событие несмотря каждый каждый часть исторический на человек пониматься весьма в свободный действие событие часть ощущение каждый представляться без определённо то и маленький ясно действительный необходимый что
183	мочь должный наука два соединяться разрешение противный другой и тот свобода составлять по и история о тот что этот идти необходимость сущность идти как путём понятие вопрос и который философия для	для разрешение вопрос о тот как соединяться свобода и необходимость и что составлять сущность этот два понятие философия история мочь и должный идти путём противный тот по который идти другой наука
184	вместо тот чтобы определить в сам себя понятие о свобода и о необходимость под составить определение подводить явление жизнь история из огромный количество подлежащее она явление всегда представляться в зависимость от свобода и необходимость должный вывести определение сам понятие о свобода и о необходимость	должный свобода всегда себя количество вместо подлежащее свобода тот определение в явление необходимость под сам необходимость чтобы явление определить от и понятие и история из вывести зависимость о о понятие в сам определение необходимость и жизнь она о свобода огромный представляться составить подводить о
185	необходимость представление произведение отчасти человек отчасти бы иначе какой мы или многий понимать рассматривать человек она ни мы о деятельность человек как закон не один свобода	какой бы мы ни рассматривать представление о деятельность многий человек или один человек мы понимать она не иначе как произведение отчасти свобода человек отчасти закон необходимость
186	наполеон и выбрать ли переселение час совершенный варвар несколько он народ человек о что говорить направление о тот ни прогулка назад мы состоять один поступок и или распоряжение из маленький iii тот видеть о или в противоречие набег не	говорить ли о переселение народ и набег варвар или о распоряжение наполеон iii или о поступок человек совершенный час тот назад и состоять в тот что из несколько направление прогулка он выбрать один мы не видеть ни маленький противоречие
187	мера свобода и необходимость руководить поступок этот человек ясно определить для мы	руководить человек этот и свобода необходимость ясно мера для определить мы поступок
188	весьма часто представление о больший или меньший свобода различно смотреть по различный точка зрение с который мы рассматривать явление но всегда одинаково каждый действие человек представляться мы не иначе как известный соединение свобода и необходимость	мы человек точка по одинаково не с известный который о зрение как больший необходимость рассматривать весьма или каждый действие иначе представляться представление явление мы соединение различно но свобода всегда меньший различный свобода и часто смотреть
189	в каждый рассматривать действие мы видеть известный доля свобода и известный доля необходимость	доля каждый свобода мы известный рассматривать видеть в известный и действие необходимость доля
190	то всегда действие необходимость быть менее ни и более менее какой и тем свобода чем чем тем свобода бы более мы в видеть необходимость	и всегда чем более в какой бы то ни быть действие мы видеть свобода тем менее необходимость и чем более необходимость тем менее свобода
191	отношение свобода к необходимость уменьшаться и увеличиваться смотреть по тот точка зрение с который рассматриваться поступок но отношение это всегда оставаться обратно пропорциональный	пропорциональный но с к отношение точка оставаться тот увеличиваться уменьшаться и необходимость зрение рассматриваться свобода отношение это по смотреть всегда который поступок обратно
192	человек тонуть хвататься за другой и потоплять он или изнурённый кормление ребёнок голодный мать красть пища или человек приучить к дисциплина по команда в строй убивать беззащитный человек представляться менее виновный то есть менее свободный и более подлежащее закон необходимость тот кто знать тот условие в который находиться этот человек и более свободный тот кто не знать что тот человек сам тонуть что мать быть голодный солдат быть в строй и том	кто другой есть знать закон потоплять человек том и быть сам изнурённый менее пища за виновный этот тот необходимость строй голодный кормление строй и и беззащитный то человек не тот дисциплина подлежащее который быть или в находиться хвататься тонуть в тот по солдат или что команда тот человек менее красть мать свободный условие голодный приучить более знать кто ребёнок свободный более в тонуть к убивать человек и представляться человек мать он что
193	далее	далее
194	год после назад совершить виновный точно жить рассматривать и тот поступок тот кто кто представляться совершить через же двадцать как после тот спокойно истечение быть поступок он год рассматривать необходимость более же свободный он так более для и день убийство в общество менее закон тот по двадцать тот человек и он подлежать безвредно поступок тот	точно так же человек двадцать год тот назад совершить убийство и после тот спокойно и безвредно жить в общество представляться менее виновный поступок он более подлежать закон необходимость для тот кто рассматривать он поступок по истечение двадцать год и более свободный тот кто рассматривать тот же поступок через день после тот как он быть совершить
195	и точно так же каждый поступок человек сумасшедший пьяный или сильно возбудить представляться менее свободный и более необходимый тот кто знать душевный состояние тот кто совершить поступок и более свободный и необходимый тот кто это не знать	и человек тот тот состояние каждый кто точно сильно необходимый необходимый сумасшедший поступок совершить и кто знать это же тот пьяный не и более свободный или поступок и душевный свободный более возбудить знать так кто представляться менее
196	соответственно зрение о смотреть точка увеличиваться или который и понятие необходимость рассматриваться тот по случай или увеличиваться свобода уменьшаться о поступок весь в тот уменьшаться с понятие этот	в весь этот случай увеличиваться или уменьшаться понятие о свобода и соответственно тот уменьшаться или увеличиваться понятие о необходимость смотреть по тот точка зрение с который рассматриваться поступок
197	так необходимость тем меньший большой чем что представляться свобода представляться	так что чем большой представляться необходимость тем меньший представляться свобода
198	и наоборот	наоборот и
199	религия здравый смысл человечество наука право и сам история одинаково понимать это отношение между необходимость и свобода	отношение понимать сам свобода и это история одинаково наука здравый и человечество необходимость между религия право смысл
200	весь без исключение случай в который увеличиваться и уменьшаться наш представление о свобода и о необходимость иметь только три основание 1 отношение человек совершить поступок к внешний мир 2 к время и 3 к причина произвести поступок	без который исключение свобода случай совершить три время о представление и к 2 поступок и 3 отношение внешний в 1 весь наш поступок иметь причина уменьшаться и увеличиваться только мир человек к о произвести основание к необходимость
201	более человек мир к который ясный больший он или основание о место существующий весь одновременно внешний тот отношение меньший отношение понятие по с мы занимать менее к каждый человек видимый есть или определённый первое	первое основание есть больший или меньший видимый мы отношение человек к внешний мир более или менее ясный понятие о тот определённый место который занимать каждый человек по отношение к весь одновременно с он существующий
202	человек то в очевидно вследствие который человек действие представляться человек служба другой местность на в суша подлежать и и основание свободный тонуть человек есть то который свободный подлежащее основание вследствие менее несомненно густонаселённый жить связанный семья и чем это действие тесный связь с менее человек чем более более необходимость уединённый необходимость действие предприятие что человек одинокий стоящий	это есть то основание вследствие который очевидно что тонуть человек менее свободный и более подлежать необходимость чем человек стоящий на суша то основание вследствие который действие человек жить в тесный связь с другой человек в густонаселённый местность действие человек связанный семья служба предприятие представляться несомненно менее свободный и более подлежащее необходимость чем действие человек одинокий и уединённый
203	он без один действие рассматривать весь представляться человек к мы мы отношение то каждый он окружающий свободный если	если мы рассматривать человек один без отношение он к весь окружающий то каждый действие он представляться мы свободный
204	но если мы видеть хоть какой нибыть отношение он к тот что окружать он если мы видеть связь он с чем бы то ни быть с человек который говорить с он с книга который он читать с труд который он занятый даже с воздух который он окружать с свет даже который падать на окружающий он предмет мы видеть что каждый из этот условие иметь на он влияние и руководить хотя один стороной он деятельность	с свет с он мы видеть он на окружающий с то что чем хотя занятый с видеть тот даже влияние который даже ни условие воздух стороной этот видеть каждый который нибыть из что который он с мы бы читать говорить с окружать на и он книга но если он связь мы который окружать он человек падать он он с отношение предмет который если он деятельность быть хоть к один какой он труд руководить иметь
205	и настолько насколько мы видеть этот влияние настолько уменьшаться наш представление о он свобода и увеличиваться представление о необходимость который он подлежать	который этот свобода и он увеличиваться настолько о настолько он представление подлежать и о представление необходимость наш видеть насколько мы уменьшаться влияние
206	2 два основание есть больший или меньший видимый временной отношение человек к мир более или менее ясный понятие о тот место который действие человек занимать в время	временной человек о к тот действие ясный человек видимый более который в занимать или мир менее время основание или два 2 понятие больший отношение есть меньший место
207	человек который свой это иметь последствие есть в современный представляться менее род основание происхождение то человеческий человек падение первое вступление брак свободный очевидно вследствие чем	это есть то основание вследствие который падение первое человек иметь свой последствие происхождение род человеческий представляться очевидно менее свободный чем вступление в брак современный человек
208	свободный это вследствие представляться я основание последствие в неизвестный с который современный не деятельность назад тот столь и то ещё и я век жить есть жизнь время жизнь я связать мочь который человек как	это есть то основание вследствие который жизнь и деятельность человек жить век тот назад и связать с я в время не мочь представляться я столь свободный как жизнь современный последствие который я ещё неизвестный
209	необходимость представление в больший меньший меньший о зависеть о и от время от больший или промежуток отношение свобода или постепенность совершение поступок до это немой суждение	постепенность представление о больший или меньший свобода и необходимость в это отношение зависеть от больший или меньший промежуток время от совершение поступок до суждение о немой
210	если я рассматривать поступок совершенный я минута тот назад при приблизительно тот же самый условие при который я находиться теперь мой поступок представляться я несомненно свободный	который рассматривать приблизительно при представляться если поступок самый же я при я назад условие находиться минута тот мой совершенный поступок несомненно я тот я свободный теперь
211	не не из иметь признавать в находиться приятный этот назад бы что многий если другой если быть совершить место даже это полезный вытечь обсуживать бы но поступок и необходимый тот совершенный то я я невольно месяц поступок условие поступок	но если я обсуживать поступок совершенный месяц тот назад то находиться в другой условие я невольно признавать что если бы поступок этот не быть совершить многий полезный приятный и даже необходимый вытечь из это поступок не иметь бы место
212	если если мой ещё более я бы поступок я десять поступок быть ещё то бы я за и поступок далее что и год представиться отдалённый последствие не представить воспоминание быть перенестись очевидный трудно быть себя к	если я перенестись воспоминание к поступок ещё более отдалённый за десять год и далее то последствие мой поступок представиться я ещё очевидный и я трудно быть представить себя что бы быть если бы не быть поступок
213	чем далёкий назад быть переноситься я воспоминание или что то же самый вперёд суждение тем рассуждение мой о свобода поступок быть становиться сомнительный	воспоминание далёкий становиться переноситься назад чем я же самый мой быть вперёд суждение тем что быть о то свобода или поступок сомнительный рассуждение
214	в в прогрессия же человечество дело убедительность общий и точно свободный тот участие воля о история мы находить	точно тот же прогрессия убедительность о участие свободный воля в общий дело человечество мы находить и в история
215	совершиться современный событие представляться мы несомненно произведение весь известный человек но в событие более отдалённый мы видеть уже он неизбежный последствие помимо который мы ничто другой не мочь представить	человек мочь но мы не видеть совершиться представляться событие несомненно современный уже помимо мы произведение более другой весь который представить мы в известный неизбежный он событие ничто отдалённый последствие
216	и чем далёкий переноситься мы назад в рассматривание событие тем менее они мы представляться произвольный	мы далёкий рассматривание представляться в менее и чем произвольный они событие тем мы назад переноситься
217	австро прусский война представляться мы несомненный последствие действие хитрый бисмарк и том	и представляться последствие прусский мы действие несомненный том австро хитрый война бисмарк
218	плата	плата
219	лицо воля сомнительно свой герой летописец мы хотя место представляться только мы для занимать представляться точно произведение некоторый поход же крестовый уже история произведение новый уже хотя воля но это немыслимый война и европа в но поход определённо крестовый наполеоновский без событие ещё который так видеть событие	наполеоновский война хотя уже сомнительно но ещё представляться мы произведение воля герой но в крестовый поход мы уже видеть событие определённо занимать свой место и без который немыслимый новый история европа хотя точно так же для летописец крестовый поход событие это представляться только произведение воля некоторый лицо
220	обновить мир народ зависеть не никто в приходить голова в время уже в произвол аттил наш чтобы от европейский переселение	в переселение народ никто уже в наш время не приходить в голова чтобы от произвол аттил зависеть обновить европейский мир
221	чем свобода в событие производить переносить далёкий тем и закон мы становиться человек тем наблюдение необходимость назад очевидный история предмет сомнительный	чем далёкий назад мы переносить в история предмет наблюдение тем сомнительный становиться свобода человек производить событие и тем очевидный закон необходимость
222	3 третье основание есть большой или меньший доступность для мы тот бесконечный связь причина составлять неизбежный требование разум и в который каждый понимать явление и потому каждый действие человек должный иметь свой определённый место как следствие для предыдущий и как причина для последующий	как причина иметь для третье явление неизбежный бесконечный для как мы человек в есть и требование составлять разум свой для и последующий следствие место понимать основание большой каждый тот и потому определённый доступность или который предыдущий связь каждый должный причина меньший действие 3
223	характер и свой известный несложный то мы действие это человек и с тот вывести чем тем простой представляться другой наблюдать чем и рассматривать или есть человек и действие подлежать действие подлежащее закон один чем свободный который психологический сторона мы который и из человек верный исторический физиологический сторона наблюдение более физиологический усмотреть вследствие исторический причина действие мы мы и более психологический самый другой тот с менее ум чем основание необходимость который	это есть то основание вследствие который действие свой и другой человек представляться мы с один сторона тем более свободный и менее подлежащее необходимость чем более известный мы тот вывести из наблюдение физиологический психологический и исторический закон который подлежать человек и чем верный усмотреть мы физиологический психологический или исторический причина действие с другой сторона чем простой самый наблюдать действие и чем несложный характер и ум тот человек действие который мы рассматривать
224	поступок добро мы по ли добродетель случай понимать не даже мы в когда признать злодейство такой наибольший безразличный свобода и доля зло причина поступок поступок совершенно в или	когда мы совершенно не понимать причина поступок в случай ли злодейство добродетель или даже безразличный по добро и зло поступок мы в такой поступок признать наибольший доля свобода
225	в случай злодейство мы более всего требовать за такой поступок наказание в случай добродетель более всего ценить такой поступок	всего в более в случай наказание мы всего требовать за добродетель поступок более такой такой случай поступок злодейство ценить
226	оригинальность безразличный в индивидуальность наибольший признать свобода случай	в безразличный случай признать наибольший индивидуальность оригинальность свобода
227	но если хоть один из бесчисленный причина известный мы мы признать уже известный доля необходимость и менее требовать возмездие за преступление менее признать заслуга в добродетельный поступок менее свобода в казаться оригинальный поступок	причина один за мы свобода требовать и преступление известный в но из доля поступок заслуга мы если бесчисленный в добродетельный возмездие уже казаться признать необходимость менее хоть признать менее поступок менее оригинальный известный
228	уже что среда смягчать то преступник он вина в воспитанный злодей быть	то что преступник быть воспитанный в среда злодей уже смягчать он вина
229	самоотвержение отец матерь самоотвержение с возможность награда более понятно чем беспричинный самоотвержение и потому представляться менее заслуживать сочувствие менее свободный	сочувствие представляться матерь заслуживать с чем понятно менее самоотвержение самоотвержение потому и беспричинный возможность отец самоотвержение более награда свободный менее
230	основатель секта партия изобретатель менее удивлять мы когда мы знать как и чем быть подготовить он деятельность	удивлять он секта мы как и чем деятельность знать основатель быть подготовить мы когда изобретатель партия менее
231	если мы иметь большой ряд опыт если наблюдение наш постоянно направить на отыскание соотношение в действие человек между причина и следствие то действие человек представляться мы тем более необходимый и тем менее свободный чем верный мы связывать последствие с причина	представляться наш на последствие связывать действие следствие и более мы иметь и мы мы большой человек то отыскание свободный причина если соотношение необходимый направить действие если причина между тем верный в постоянно человек ряд тем менее чем опыт с наблюдение
232	если рассматривать действие простой и мы для наблюдение иметь огромный количество такой действие то представление наш о они необходимость быть ещё полный	простой огромный для о необходимость наблюдение быть то действие мы количество такой действие рассматривать полный и ещё иметь они наш представление если
233	в бесчестный и дурной среда возвращение бесчестный отец пьяница сын попасть к поступок том женщина поведение пьянство известный	бесчестный поступок сын бесчестный отец дурной поведение женщина попасть в известный среда возвращение к пьянство пьяница и том
234	плата	плата
235	быть поступок который тем менее представляться мы свободный чем понятный для мы причина	поступок быть тем причина мы который мы чем свободный понятный представляться менее для
236	если же и самый человек действие который мы рассматривать стоить на самый низка степень развитие ум как ребёнок сумасшедший дурачок то мы знать причина действие и несложность характер и ум уже видеть столь большой доля необходимость и столь малый свобода что как скоро мы известный причина долженствовать произвести действие мы мочь предсказать поступок	долженствовать самый как действие то и поступок человек ум столь что развитие и мы произвести мы как мы самый степень действие характер и уже мочь мы ум который доля причина ребёнок низка стоить необходимость если сумасшедший свобода большой столь известный на знать видеть действие причина дурачок предсказать малый скоро рассматривать несложность и же
