	true
420	например о безумие швед балашева хотеть сказать что швеция есть остров когда россия за нея но наполеон сердито вскрикнуть чтобы заглушить он голос
421	наполеон находиться в тот состояние раздражение в который нужно говорить говорить и говорить только для тот чтобы самый себя доказать свой справедливость
422	балашева становиться тяжело он как посол бояться уронить достоинство свой и чувствовать необходимость возражать но как человек он сжиматься нравственно перед забытьё беспричинный гнев в который очевидно находиться наполеон
423	он знать что весь слово сказать теперь наполеон не иметь значение что он сам когда опомниться устыдиться они
424	балашева стоялый опустить глаз глядеть на двигаться толстой нога наполеон и стараться избегать он взгляд
425	да что я этот ваш союзник
426	говорить наполеон
427	у я союзник это поляк они восемьдесят тысяча они драться как лев
428	и они быть двести тысяча
429	и вероятно ещё более возмутиться тем что сказать это он сказать очевидный неправда и что балашева в тот же покорный свой судьба поза молча стоялый перед он он круто повернуться назад подойти к самый лицо балашева и делать энергический и быстрый жест свой белый рука закричать почти знать что ежели вы поколебать пруссия против я знать что я стереть она с карта европа сказать он с бледный искажённый злоба лицо энергический жест один маленькая рука ударять по другой
430	да я забросить вы за двина за днепр и восстановить против вы тот преграда который европа быть преступный и слепой что позволить разрушить c_10
431	да вот что с вы быть вот что вы выиграть удалиться от я сказать он и молча пройти несколько раз по комната вздрагивать свой толстой плечо
432	он положить в жилетный карман табакерка опять вынуть она несколько раз приставлять она к нос и остановиться против балашева
433	он помолчать поглядеть насмешливо прямо в глаз балашева и сказать тихий голос et cependant quel beau r 232 gne aurait pu avoir votre ma 238 tre
434	26 а между тем какой прекрасный царствование мочь бы иметь ваш государь
435	балашева чувствовать необходимость возражать сказать что с сторона россия дело не представляться в такой мрачный вид
436	наполеон молчать продолжать насмешливо глядеть на он и очевидно он не слушать
437	балашева сказать что в россия ожидать от война всего хороший
438	наполеон снисходительно кивнуть голова как бы говорить знать так говорить ваш обязанность но вы сам в это не верить вы убедить я
439	в конец речь балашева наполеон вынуть опять табакерка понюхать из нея и как сигнал стукнуть два раз нога по пол
440	дверь отвориться почтительно изгибаться камергер подать император шляпа и перчатка другой подать носов платок
441	наполеон не глядеть на они обратиться к балашева
442	уверить от мой имя император александр сказать он взять шляпа что я он предать по прежний я знать он совершенно и весьма высоко ценить высокий он качество
443	je ne vous retiens plus g 233 n 233 ral vous recevrez ma lettre 224 l empereur
444	27 не удерживать вы более генерал вы получить мой письмо к государь
445	и наполеон пойти быстро к дверь
446	из приёмный весь броситься вперёд и вниз по лестница
447	vii после всего тот что сказать он наполеон после этот взрыв гнев и после последний сухо сказать слово je ne vous retiens plus g 233 n 233 ral vous recevrez ma lettre балашева быть уверенный что наполеон уже не только не пожелать он видеть но постараться не видать он оскорбить посол и главный свидетель он непристойный горячность
448	но к удивление свой балашева через дюрок получить в этот день приглашение к стол император
449	на обед быть бессьер коленкура и бертие
450	наполеон встретить балашева с весёлый и ласковый вид
451	не только не быть в немой выражение застенчивость или упрёк себя за утренний вспышка но он напротив стараться ободрить балашева
452	видно быть что уже давно для наполеон в он убеждение не существовать возможность ошибка и что в он понятие весь то что он делать быть хорошо не потому что оно сходиться с представление тот что хорошо и дурно но потому что он делать это
453	император быть очень весёлый после свой верховой прогулка по вильно в который толпа народ с восторг встречать и провожать он
454	в весь окно улица по который он проезжать быть выставить ковёр знамя вензель он и польский дама приветствовать он махать он платок
455	за обед посадить подле себя балашева он обращаться с он не только ласково но обращаться так как будто он и балашева считать в число свой придворный в число тот человек который сочувствовать он план и должный быть радоваться он успех
456	между прочить разговор он заговорить о москва и стать спрашивать балашева о русский столица не только как спрашивать любознательный путешественник о новый место который он намереваться посетить но как бы с убеждение что балашева как русский должный быть польстить этот любознательность
457	сколько житель в москва сколько дом
458	правда ли что moscou называть moscou la sainte
459	28 святой
460	сколько церковь в moscou
461	спрашивать он
462	и на ответ что церковь более двести он сказать к что такой бездна церковь
463	русский очень набожный отвечать балашева
464	впрочем большой количество монастырь и церковь есть всегда признак отсталость народ сказать наполеон оглядываться на коленкура за оценка это суждение
465	балашева почтительно позволить себя не согласиться с мнение французский император
466	у каждый страна свой нрав сказать он
467	но уже нигде в европа нет ничто подобный сказать наполеон
468	просить извинение у ваш величество сказать балашева кроме россия есть ещё испания где также много церковь и монастырь
469	этот ответ балашева намекать на недавний поражение француз в испания c_11 быть высоко оценить впоследствии по рассказ балашева при двор император александр и очень мало быть оценить теперь за обед наполеон и пройти незаметно
470	по равнодушный и недоумевать лицо господин маршал видно быть что они недоумевать в чем тут состоять острота на который намекать интонация балашева
471	ежели и быть она то мы не понять она или она вовсе не остроумный говорить выражение лицо маршал
472	так мало быть оценить этот ответ что наполеон даже решительно не заметить он и наивно спросить балашева о тот на какой город идти отсюда прямая дорога к москва
473	балашева бывший весь время обед настороже отвечать что comme tout chemin m 232 ne 224 rome tout chemin m 232 ne 224 moscou 29 как всякая дорога по пословица вести в рим так и весь дорога вести в москва
474	что есть много дорога и что в число этот разный путь есть дорога на полтава который избрать карл xii c_12 сказать балашева невольно вспыхнуть от удовольствие в удача это ответ
475	не успеть балашева досказать последний слово poltawa как уже коленкура заговорить о неудобство дорога из петербург в москва и о свой петербургский воспоминание
476	после обед переслать пить кофе в кабинет наполеон четыре день тот назад бывший кабинет император александр
477	наполеон сесть потрогивать кофе в севрский чашка и указать на стул подле себя балашева
478	есть в человек известный послеобеденный расположение дух который сильный всякий разумный причина заставлять человек быть довольный себя и считать весь свой друг
479	наполеон находиться в это расположение
480	он казалось что он окружный человек обожать он
481	он быть убедить что и балашева после он обед быть он друг и обожатель
482	наполеон обратиться к он с приятный и слегка насмешливый улыбка
483	это тот же комната как я говорить в который жить император александр
484	странно не правда ли генерал
485	сказать он очевидно не сомневаться в тот что это обращение не мочь не быть приятно он собеседник так как оно доказывать превосходство он наполеон над александр
486	балашева ничто не мочь отвечать на это и молча наклонить голова
487	да в этот комната четыре день тот назад совещаться винцингерод и штейн с тот же насмешливый уверенный улыбка продолжать наполеон
488	что я не мочь понять сказать он это тот что император александр приблизить к себя весь личный мой неприятель
489	я это не понимать
490	он не подумать о тот что я мочь сделать то же
491	с вопрос обратиться он к балашева и очевидно это воспоминание втолкнуть он опять в тот след утренний гнев который ещё быть свежий в немой
492	и пусть он знать что я это сделать сказать наполеон вставать и отталкивать рука свой чашка
493	я выгнать из германия весь он родные c_13 виртембергский баденский веймарский да я выгнать они
494	пусть он готовить для они убежище в россия
495	балашева наклонить голова вид свой показывать что он желать бы откланяться и слушать только потому что не мочь не слушать тот что он говорят
496	наполеон не замечать это выражение он обращаться к балашева не как к посол свой враг а как к человек который теперь вполне предать он и должный радоваться унижение свой бывший господин
497	и зачем император александр принять начальство над войско
498	к что это
499	война мой ремесло а он дело царствовать а не командовать войско
500	зачем он взять на себя такой ответственность
501	наполеон опять взять табакерка молча пройтись несколько раз по комната и вдруг неожиданно подойти к балашева и с лёгкий улыбка так уверенно быстро просто как будто он делать какой нибыть не только важный но и приятный для балашева дело поднять рука к лицо сорокалетний русский генерал и взять он за ухо слегка дёрнуть улыбнуться один губа
502	avoir l oreille tir 233 e par l empereur 30 быть выдрать за ухо император
503	считаться великий честь и милость при французский двор
504	eh bien vous ne dites rien admirateur et courtisan de l empereur alexandre
505	31 ну с что ж вы ничто не говорить обожатель и придворный император александр
506	сказать он как будто смешно быть быть в он присутствие чей нибыть courtisan и admirateur 32 придворный и обожатель
507	кроме он наполеон
508	готовый ли лошадь для генерал
509	прибавить он слегка наклонять голова в ответ на поклон балашева
510	дать он мой он далеко ехать письмо привезти балашев быть последний письмо наполеон к александр
511	весь подробность разговор быть передать русский император и война начаться
512	viii после свой свидание в москва с пьер князь андрей уехать в петербург по дело как он сказать свой родной но в сущность для тот чтобы встретить там князь анатоль курагина который он считать необходимый встретить
513	курагина о который он осведомиться приехать в петербург уже там не быть
514	пьер дать знать свой шурин что князь андрей ехать за он
515	анатоль курагина тотчас получить назначение от военный министр и уехать в молдавский армия
516	в это же время в петербург князь андрей встретить кутузов свой прежний всегда расположить к он генерал и кутузов предложить он ехать с он вместе в молдавский армия куда старый генерал назначаться главнокомандующий c_14
517	князь андрей получить назначение состоять при штаб главный квартира уехать в турция
518	князь андрей считать неудобный писать к курагина и вызывать он
519	не подать новое повод к дуэль князь андрей считать вызов с свой сторона компрометировать графиня ростов и потому он искать личный встреча с курагин в который он намеренный быть найти новый повод к дуэль
520	но в турецкий армия он также не удаться встретить курагина который вскоре после приезд князь андрей в турецкий армия вернуться в россия
521	в новый страна и в новый условие жизнь князь андрей стать жить лёгкий
522	после измена свой невеста который тем сильный поразить он чем старательный он скрывать от весь произвести на он действие для он быть тяжёлый тот условие жизнь в который он быть счастливый и ещё тяжёлый быть свобода и независимость который он так дорожить прежде
523	он не только не думать тот прежний мысль который в один раз прислать он глядеть на небо на аустерлицкий пол который он любить развивать с пьер и который наполнять он уединение в богучаров а потом в швейцария и рим но он даже бояться вспоминать о этот мысль раскрывать бесконечный и светлый горизонт
524	он интересовать теперь только самый ближний не связанный с прежний практический интерес за который он ухватываться с тем больший жадность чем закрытый быть от он прежний
525	как будто тот бесконечный удаляться свод небо стоять прежде над он вдруг превратиться в низкий определённый давить он свод в который весь быть ясно но ничто не быть вечный и таинственный
526	из представляться он деятельность военный служба быть самый простой и знакомый он
527	состоять в должность дежурный генерал при штаб кутузов он упорно и усердно заниматься дело удивлять кутузов свой охота к работа и аккуратность
528	не найти курагина в турция князь андрей не считать необходимый скакать за он опять в россия но при весь тот он знать что сколько бы ни прошлый время он не мочь встретить курагина несмотря на весь презрение который он иметь к он несмотря на весь доказательство который он делать себя что он не стоить унижаться до столкновение с он он знать что встретить он он не мочь не вызвать он как не мочь голодный человек не броситься на пища
529	и это сознание тот что оскорбление ещё не выместить что злоба не излить а лежать на сердце отравлять то искусственный спокойствие который в вид озабоченно хлопотливый и несколько честолюбивый и тщеславный деятельность устроить себя князь андрей в турция
530	в 12 метр год когда до букарешт где два месяц жить кутузов проводить день и ночь у свой валашка дошлый ведать о война с наполеон князь андрей попросить у кутузов перевод в западный армия
531	кутузов который уже надоесть болконский свой деятельность служить он упрёк в праздность кутузов весьма охотно отпустить он и дать он поручение к барклай де толли
532	прежде чем ехать в армия находиться в май в дрисскома лагер князь андрей заехать в лысый гора который быть на самый он дорога находиться в три верста от смоленский большак
533	последний три год в жизнь князь андрей быть так много переворот так много он передумать перечувствовать перевидеть он объехать и запад и восток что он странно и неожиданно поразить при въезд в лысый гора весь точно то же до маленький подробность точно то же течение жизнь
534	он как в заколдованный заснуть замок въехать в аллея и в каменный ворот лысогорский дом
535	тот же степенность тот же чистота тот же тишина быть в это дом тот же мебель тот же стена тот же звук тот же запах и тот же робкий лицо только несколько постареть
536	княжна марья быть весь тот же робкий некрасивый стареющийся девушка в страх и вечный нравственный страдание без польза и радость проживать хороший год свой жизнь
537	bourienne быть тот же радостно пользоваться каждый минута свой жизнь и исполнить самый для себя радостный надежда довольный себя кокетливый девушка
538	она только стать уверенный как показаться князь андрей
539	привезти имя из швейцария воспитатель десалить быть одетый в сюртук русский покрой коверкать язык говорить по русски с слуга но быть весь тот же ограниченно умный образовать добродетельный и педантический воспитатель
540	старый князь перемениться физически только тем что с бок рот у он стать заметный недостаток один зуб нравственно он быть весь такой же как и прежде только с ещё больший озлобление и недоверие к действительность тот что происходить в мир
541	один только николушко вырасти перемениться разрумяниться обрасти курчавый тёмный волос и сам не знать тот смеяться и веселиться поднимать верхний губка хорошенький ротик точно так же как она поднимать покойница маленький княгиня
542	он один не слушаться закон неизменность в это заколдованный спать замок
543	но хотя по внешность весь оставаться по старое внутренний отношение весь этот лицо измениться с тот пора как князь андрей не видать они
544	член семейство быть разделить на два лагерь чуждый и враждебный между себя который сходиться теперь только при немой для он изменять свой обычный образ жизнь
545	к один принадлежать старый князь m lle bourienne и архитектор к другой княжна марья десалить николушко и весь нянька и мамка
546	в время он пребывание в лысый гора весь домашний обедать вместе но весь быть неловко и князь андрей чувствовать что он гость для который делать исключение что он стеснять весь свой присутствие
547	в время обед первое день князь андрей невольно чувствовать это быть молчаливый и старый князь заметить неестественность он состояние тоже угрюмо замолчать и сейчас после обед уйти к себя
548	когда ввечеру князь андрей прийти к он и стараться расшевелить он стать рассказывать он о кампания молодой граф каменский старый князь неожиданно начать с он разговор о княжна марья осуждать она за она суеверие за она нелюбовь к m lle bourienne который по он слово быть один истинно предать он
549	старый князь говорить что ежели он больной то только от княжна марья что она нарочно мучить и раздражать он что она баловство и глупый речь портить маленький князь николай
550	старый князь знать очень хорошо что он мучить свой дочь что жизнь она очень тяжёлый но знать тоже что он не мочь не мучить она и что она заслуживать это
551	почему же князь андрей который видеть это я ничто не говорить про сестра
552	думать старый князь
553	что же он думать что я злодей или старый дурак без причина отдалиться от дочь и приблизить к себя француженка
554	он не понимать и потому надо объяснить он надо чтоб он выслушать думать старый князь
555	и он стать объяснять причина по который он не мочь переносить бестолковый характер дочь
556	ежели вы спрашивать я сказать князь андрей не глядеть на отец он в один раз в жизнь осуждать свой отец я не хотеть говорить но ежели вы я спрашивать то я сказать вы откровенно свой мнение насчёт всего это
557	ежели есть недоразумение и разлад между вы и маша то я никак не мочь винить она я знать как она вы любить и уважать
558	ежели уж вы спрашивать я продолжать князь андрей раздражаться потому что он всегда быть готовый на раздражение в последний время то я один мочь сказать ежели есть недоразумение то причина они ничтожный женщина который бы не должный быть быть подруга сестра
559	старик сначала остановиться глаз смотреть на сын и ненатурально открыть улыбка новый недостаток зуб к который князь андрей не мочь привыкнуть
560	какой же подруга голубчик
561	а
562	уж переговорить
563	а
564	батюшка я не хотеть быть судья сказать князь андрей жёлчный и жёсткий тон но вы вызвать я и я сказать и всегда сказать что княжна марья не виноватый а виноватый виноватый этот француженка а присудить
565	присудить
566	сказать старик тихий голос и как показаться князь андрей с смущение но потом вдруг он вскочить и закричать вон вон
567	чтобы дух твой тут не быть
568	князь андрей хотеть тотчас же уехать но княжна марья упросить остаться ещё день
569	в этот день князь андрей не видеться с отец который не выходить и никто не пускать к себя кроме m 8209 lle bourienne и тихон и спрашивать несколько раз о тот уехать ли он сын
570	на другой день перед отъезд князь андрей пойти на половина сын
571	здоровый по матерь кудрявый мальчик сесть он на колено
572	князь андрей начать сказывать он сказка о синь борода но не досказать задуматься
573	он думать не о это хорошенький мальчик сын в то время как он он держать на колено а думать о себя
574	он с ужас искать и не находить в себя ни раскаяние в тот что он раздражить отец ни сожаление о тот что он в ссора в один раз в жизнь уезжать от он
575	главный всего он быть то что он искать и не находить тот прежний нежность к сын который он надеяться возбудить в себя приласкать мальчик и посадить он к себя на колено
576	ну рассказывать же говорить сын
577	князь андрей не отвечать он снять он с колено и пойти из комната
578	как только князь андрей оставить свой ежедневный занятие в особенность как только он вступить в прежний условие жизнь в который он быть ещё тогда когда он быть счастливый тоска жизнь охватить он с прежний силой и он спешить скорый уйти от этот воспоминание и найти скорый какой нибыть дело
579	ты решительно ехать andr 233
580	сказать он сестра
581	слава бог что мочь ехать сказать князь андрей очень жалеть что ты не мочь
582	зачем ты это говорить
583	сказать княжна марья
584	зачем ты это говорить теперь когда ты ехать на этот страшный война и он так старый
585	m lle bourienne говорить что он спрашивать про ты как только она начало говорить о это губа она задрожать и слеза закапать
586	князь андрей отвернуться от нея и стать ходить по комната
587	ах бог мой
588	бог мой
589	сказать он
590	и как подумать что и кто какой ничтожество мочь быть причина несчастие человек
591	сказать он с злоба испугать княжна марь
592	она понять что говорить про человек который он называть ничтожество он разуметь не только m lle bourienne делать он несчастие но и тот человек который погубить он счастие
593	andr 233 о один я просить я умолять ты сказать она дотрогиваться до он локоть и сиять сквозь слеза глаз глядеть на он
594	я понимать ты княжна марья опустить глаз
595	не думать что горе сделать человек
596	человек орудие он
597	она взглянуть немного высокий голов князь андрей тем уверенный привычный взгляд с который смотреть на знакомый место портрет
598	горе послать имя а не человек
599	человек он орудие они не виноватый
600	ежели ты кажется что кто нибыть виноватый перед ты забыть это и простить
601	мы не иметь право наказывать
602	и ты понять счастие прощать
603	ежели бы я быть женщина я бы это делать marie
604	это добродетель женщина
605	но мужчина не должный и не мочь забывать и прощать сказать он и хотя он до этот минута не думать о курагина весь невыместить злоба вдруг подняться в он сердце
606	ежели княжна марья уже уговаривать я простить то значит давно я надо быть наказать подумать он
607	и не отвечать более княжна марья он стать думать теперь о тот радостный злобный минута когда он встретить курагина который он знать находиться в армия
608	княжна марья умолять брат подождать ещё день говорить о тот что она знать как быть несчастливый отец ежели андрей уехать не помириться с он но князь андрей отвечать что он вероятно скоро приехать опять из армия что непременно написать отец и что теперь чем долгий оставаться тем большой растравиться этот раздор
609	adieu andr 233
610	rappelez vous que les malheurs viennent de dieu et que les hommes ne sont jamais coupables 33 прощать андрей
611	помнить что несчастие происходить от бог и что человек никогда не бывать виноватый
612	быть последний слово который он слышать от сестра когда прощаться с нея
613	так это должный быть
614	думать князь андрей выезжать из аллея лысогорский дом
615	она жалкий невинный существо оставаться на съедение выжить из ум старик
616	старик чувствовать что виноватый но не мочь изменить себя
617	мальчик мой расти и радоваться жизнь в который он быть такой же как и весь обмануть или обманывать
618	я еда в армия зачем
619	сам не знать и желать встретить тот человек который презирать для тот чтобы дать он случай убить я и посмеяться надо я
620	и прежде быть весь тот же условие жизнь но прежде они весь вязаться между себя а теперь весь рассыпаться
621	один бессмысленный явление без всякая связь один за другой представляться князь андрей
622	ix князь андрей приехать в главный квартира армия в конец июнь
623	войско один армия тот при который находиться государь быть расположить в укрепить лагер у дрисс войско два армия отступать стремиться соединиться с один армия от который как говорить они быть отрезать больший сила француз
624	весь быть недовольный общий ход военный дело в русский армия но о опасность нашествие в русский губерния никто и не думать никто и не предполагать чтобы война мочь быть перенести далее западный польский губерния
625	князь андрей найти барклай де толли к который он быть назначить на берег дрисс
626	так как не быть ни один большой село или местечко в окрестность лагерь то весь огромный количество генералов и придворный бывший при армия располагаться в окружность десять верста по хороший дом деревня по сю и по тот сторона река
627	барклай де толли стоялый в четыре верста от государь
628	он сухо и холодный принять болконский и сказать свой немецкий выговор что он доложить о немой государь для определение он назначение а покамест просить он состоять при он штаб
629	анатоль курагина который князь андрей надеяться найти в армия не быть здесь он быть в петербург и это известие быть приятно болконский
630	интерес центр производиться огромный война занять князь андрей и он рад быть на некоторый время освободиться от раздражение который производить в немой мысль о курагина
631	в продолжение один четыре день в время который он не быть никуда требовать князь андрей объездить весь укрепить лагерь и с помощие свой знание и разговор с сведущий человек стараться составить себя о немой определённый понятие
632	но вопрос о тот выгодный или невыгодный этот лагерь остаться нерешенный для князь андрей
633	он уже успеть вывести из свой военный опыт то убеждение что в военный дело ничто не значить самый глубокомысленно обдуманный план как он видеть это в аустерлицкий поход что весь зависеть от тот как отвечать на неожиданный и не мочь быть предвидеть действие неприятель что весь зависеть от тот как и кто вестись весь дело
634	для тот чтобы уяснить себя этот последний вопрос князь андрей пользоваться свой положение и знакомство стараться вникнуть в характер управление армия лицо и партия участвовать в оный и вывести для себя следующий понятие о положение дело
635	когда ещё государь быть в вильно армия быть разделить натрое 1 я армия находиться под начальство барклай де толли 2 я под начальство багратион 3 я под начальство тормасова
636	государь находиться при один армия но не в качество главнокомандующий
